,property_type,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,Predicciones,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
property_type,1.0,0.044083518473943484,,0.00779437807087653,0.0019063668463830266,0.024653928709205058,0.08969170754340093,,0.06597016401725442,0.043649479780561815,1.0000000000000027,0.04768157551496088,0.004291786730990142,0.016708196364906083,0.019377050769074977,0.01598477568659701,0.013764988712754684,0.05292804214927399,1.043091919475515e-05,0.025756098799419286,0.005292391592791748,0.019972622654698475,0.006250331783971635,0.011224600949624306,0.03457398869627363,0.015025540005685014,0.016453179438039096,0.006883106726663834
id,0.044083518473943484,1.0,,0.00550378141970575,0.07586668821679393,0.09131821378927711,0.014372121614509115,,0.03847994653612183,0.08043794712949379,0.04408351847393148,0.02484616002451356,0.22057288922756224,0.2452847501884247,0.1801444829873451,0.19120100517476835,0.07413373892283173,0.306655102962333,0.09825133779067981,0.008389881440469512,0.04783398791943417,0.14082059531369673,0.1904375145671755,0.08284948635856652,0.2633752655588339,0.03715576166460967,0.14533156906907407,0.023652359356828752
host_response_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_acceptance_rate,0.00779437807087653,0.00550378141970575,,1.0,0.0396665717628641,0.042043290987480005,0.016478761411780465,,0.01900784856703584,0.0173343400572652,0.007794378070875641,0.03573475941383388,0.005933215151961258,0.00455790354822992,0.13383579682759475,0.09657363529667323,0.011264884782195247,0.11189970230174046,0.153615321600352,0.12095948215436077,0.055333565835907025,0.032065675479019194,0.01802513825703354,0.021212174231604073,0.08058061929067843,0.03540523521420609,0.01564075893232035,0.1364457967959468
host_listings_count,0.0019063668463830266,0.07586668821679393,,0.0396665717628641,1.0,0.8756815740447513,0.04693897650952149,,0.008191226395914304,0.030909556634488276,0.0019063668463799707,0.06540982032471107,0.0811113184345278,0.08877346437144705,0.019911165540256015,0.01520240562888342,0.021613770026187074,0.02055394973501163,0.03860289426838958,0.015203673775241554,0.08462585370909109,0.07442023065048547,0.06512143717673785,0.06783381092861163,0.05282486340090021,0.03113916877739903,0.07003020010451214,0.051536725074022675
host_total_listings_count,0.024653928709205058,0.09131821378927711,,0.042043290987480005,0.8756815740447513,1.0,0.031470843425862025,,0.0005511308120775033,0.018700339736409017,0.024653928709205915,0.07894335393791334,0.05433756246835735,0.09081077014139335,0.005027107360464716,0.010123762007733069,0.00498157706045498,0.01800969175731775,0.04106618292493906,0.02036115586601157,0.0938503394385971,0.0840752685985996,0.0786208464719492,0.07971161279433597,0.05839769301171821,0.024307261779283256,0.08602176842142202,0.053657109013612266
accommodates,0.08969170754340093,0.014372121614509115,,0.016478761411780465,0.04693897650952149,0.031470843425862025,1.0,,0.5139675912520631,0.5316454009470262,0.08969170754339903,0.2713738844411419,0.007090711297479354,0.007087273973424253,0.011751360056471738,0.030613328404328902,0.023157451734721838,0.01911904651181167,0.012690574733020939,0.021103126487964516,0.029942594556161422,0.03779078733106692,0.03385081371432506,0.0021612315275483336,0.007632989028352391,0.006193950325675122,0.056141290009744986,0.02614169166267384
bathrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedrooms,0.06597016401725442,0.03847994653612183,,0.01900784856703584,0.008191226395914304,0.0005511308120775033,0.5139675912520631,,1.0,0.5093088411000902,0.06597016401725399,0.294145921192565,0.0595262923269833,0.0349878104548225,0.032423116400147486,0.061286244816206155,0.001103926342030312,0.014287426209875187,0.022585665943637,0.010209591507949173,0.020228405209996286,0.0038348121730400714,0.0052508835555766025,0.014350248051497025,0.006068817561624163,0.021362422142620466,0.034310833705748105,0.014054999392045882
beds,0.043649479780561815,0.08043794712949379,,0.0173343400572652,0.030909556634488276,0.018700339736409017,0.5316454009470262,,0.5093088411000902,1.0,0.04364947978055908,0.21467766871736124,0.045106111133585876,0.042772253045353134,0.019003489623138473,0.04244117446690713,0.020019219859703365,0.03958875448715492,0.016321256663769497,0.01747045116635045,0.016652269253318034,0.0034467419514407713,0.01082049326319748,0.01852075146845734,0.034617022727534856,0.031412926281374334,0.010285386641132052,0.024796679960042724
Predicciones,1.0000000000000027,0.04408351847393148,,0.007794378070875641,0.0019063668463799707,0.024653928709205915,0.08969170754339903,,0.06597016401725399,0.04364947978055908,1.0,0.04768157551496047,0.004291786730992212,0.016708196364905475,0.019377050769075133,0.015984775686596647,0.013764988712757805,0.05292804214927513,1.0430919196302639e-05,0.02575609879941863,0.00529239159278964,0.019972622654699623,0.006250331783972117,0.011224600949626126,0.034573988696276,0.015025540005685747,0.016453179438041764,0.006883106726665348
price,0.04768157551496088,0.02484616002451356,,0.03573475941383388,0.06540982032471107,0.07894335393791334,0.2713738844411419,,0.294145921192565,0.21467766871736124,0.04768157551496047,1.0,0.024763751526603348,0.030348933623224234,0.015168743264239169,0.012790234572839895,0.00046875737636585486,0.0805414511840743,0.1008818079305878,0.10239474470073327,0.1468541225745438,0.14700884812446158,0.1307787243572405,0.09206809545389776,0.09307952034799791,0.16995062400472372,0.1566946161724625,0.11843988253752145
minimum_nights,0.004291786730990142,0.22057288922756224,,0.005933215151961258,0.0811113184345278,0.05433756246835735,0.007090711297479354,,0.0595262923269833,0.045106111133585876,0.004291786730992212,0.024763751526603348,1.0,0.17895916110876864,0.08733683418180327,0.08854288186724643,0.08186203762747239,0.1480449714274344,0.14399104353645245,0.07773453851201076,0.09658427426892767,0.039361350294554995,0.012629816122527268,0.04258953055575946,0.05722572963896997,0.049366213904673134,0.03038930654936857,0.09772370535811856
maximum_nights,0.016708196364906083,0.2452847501884247,,0.00455790354822992,0.08877346437144705,0.09081077014139335,0.007087273973424253,,0.0349878104548225,0.042772253045353134,0.016708196364905475,0.030348933623224234,0.17895916110876864,1.0,0.09880559248763517,0.08928680752190074,0.08510962985046518,0.14732403031000935,0.11657554213631874,0.05225829064293529,0.06564471432204734,0.0012750897117251474,0.02020016784114194,0.004523881036619997,0.05815708290139751,0.03481243410156419,0.003845639174935711,0.05163158970463069
availability_30,0.019377050769074977,0.1801444829873451,,0.13383579682759475,0.019911165540256015,0.005027107360464716,0.011751360056471738,,0.032423116400147486,0.019003489623138473,0.019377050769075133,0.015168743264239169,0.08733683418180327,0.09880559248763517,1.0,0.9230640083551391,0.35715187538581583,0.17600891592367288,0.1541609100647128,0.08811556459242594,0.10309297372529956,0.003477559159855682,0.019981515029319014,0.010344435054708171,0.08925480648401789,0.009328418875345057,0.02605693098397842,0.12707881835148083
availability_60,0.01598477568659701,0.19120100517476835,,0.09657363529667323,0.01520240562888342,0.010123762007733069,0.030613328404328902,,0.061286244816206155,0.04244117446690713,0.015984775686596647,0.012790234572839895,0.08854288186724643,0.08928680752190074,0.9230640083551391,1.0,0.44756710726677146,0.14427501597679537,0.09642323799808288,0.04775794457008324,0.08471615226301218,0.00017728919855386935,0.014845498474962571,0.016888260054718506,0.07344737869511299,0.013952495603442977,0.030574403166322414,0.07690222522565648
availability_365,0.013764988712754684,0.07413373892283173,,0.011264884782195247,0.021613770026187074,0.00498157706045498,0.023157451734721838,,0.001103926342030312,0.020019219859703365,0.013764988712757805,0.00046875737636585486,0.08186203762747239,0.08510962985046518,0.35715187538581583,0.44756710726677146,1.0,0.05361040435120946,0.027747707882309847,0.0047238483283314515,0.05972460371913944,0.04045483687502238,0.010284147072669326,0.04029184282120895,0.007643656982079199,0.018938648551043945,0.03593760090802845,0.0033159392755996923
number_of_reviews,0.05292804214927399,0.306655102962333,,0.11189970230174046,0.02055394973501163,0.01800969175731775,0.01911904651181167,,0.014287426209875187,0.03958875448715492,0.05292804214927513,0.0805414511840743,0.1480449714274344,0.14732403031000935,0.17600891592367288,0.14427501597679537,0.05361040435120946,1.0,0.41421935211988986,0.2118610839005607,0.03747510304457848,0.18756444356470428,0.20276493862308184,0.18191516316943124,0.31554673149095364,0.13050502312582812,0.17590392341105196,0.3061161210703231
number_of_reviews_ltm,1.043091919475515e-05,0.09825133779067981,,0.153615321600352,0.03860289426838958,0.04106618292493906,0.012690574733020939,,0.022585665943637,0.016321256663769497,1.0430919196302639e-05,0.1008818079305878,0.14399104353645245,0.11657554213631874,0.1541609100647128,0.09642323799808288,0.027747707882309847,0.41421935211988986,1.0,0.4205338186760978,0.01657401872099762,0.12866463910210663,0.16189789868108956,0.14402061974402428,0.25174306016444464,0.12780641293709089,0.11939659061531097,0.5716995398718744
number_of_reviews_l30d,0.025756098799419286,0.008389881440469512,,0.12095948215436077,0.015203673775241554,0.02036115586601157,0.021103126487964516,,0.010209591507949173,0.01747045116635045,0.02575609879941863,0.10239474470073327,0.07773453851201076,0.05225829064293529,0.08811556459242594,0.04775794457008324,0.0047238483283314515,0.2118610839005607,0.4205338186760978,1.0,0.051147215944473086,0.07260015758252843,0.0816432374239798,0.062215075253627544,0.1347848535758607,0.0542547806945664,0.03558078450663668,0.419637909624989
review_scores_rating,0.005292391592791748,0.04783398791943417,,0.055333565835907025,0.08462585370909109,0.0938503394385971,0.029942594556161422,,0.020228405209996286,0.016652269253318034,0.00529239159278964,0.1468541225745438,0.09658427426892767,0.06564471432204734,0.10309297372529956,0.08471615226301218,0.05972460371913944,0.03747510304457848,0.01657401872099762,0.051147215944473086,1.0,0.5947475497448521,0.5156923466135291,0.477245044781231,0.30573122415575416,0.31232174659825707,0.6437529054257047,0.026714110191911302
review_scores_accuracy,0.019972622654698475,0.14082059531369673,,0.032065675479019194,0.07442023065048547,0.0840752685985996,0.03779078733106692,,0.0038348121730400714,0.0034467419514407713,0.019972622654699623,0.14700884812446158,0.039361350294554995,0.0012750897117251474,0.003477559159855682,0.00017728919855386935,0.04045483687502238,0.18756444356470428,0.12866463910210663,0.07260015758252843,0.5947475497448521,1.0,0.48732691562642766,0.4491594502522022,0.38316292850744105,0.2648977634845825,0.5808123236756916,0.08894341878539966
review_scores_cleanliness,0.006250331783971635,0.1904375145671755,,0.01802513825703354,0.06512143717673785,0.0786208464719492,0.03385081371432506,,0.0052508835555766025,0.01082049326319748,0.006250331783972117,0.1307787243572405,0.012629816122527268,0.02020016784114194,0.019981515029319014,0.014845498474962571,0.010284147072669326,0.20276493862308184,0.16189789868108956,0.0816432374239798,0.5156923466135291,0.48732691562642766,1.0,0.38364921647011385,0.3473033029912007,0.22066585343834566,0.5159937833718902,0.12383985762746354
review_scores_checkin,0.011224600949624306,0.08284948635856652,,0.021212174231604073,0.06783381092861163,0.07971161279433597,0.0021612315275483336,,0.014350248051497025,0.01852075146845734,0.011224600949626126,0.09206809545389776,0.04258953055575946,0.004523881036619997,0.010344435054708171,0.016888260054718506,0.04029184282120895,0.18191516316943124,0.14402061974402428,0.062215075253627544,0.477245044781231,0.4491594502522022,0.38364921647011385,1.0,0.4235415673909896,0.27856827769282294,0.4635867837083158,0.13287087424397084
review_scores_communication,0.03457398869627363,0.2633752655588339,,0.08058061929067843,0.05282486340090021,0.05839769301171821,0.007632989028352391,,0.006068817561624163,0.034617022727534856,0.034573988696276,0.09307952034799791,0.05722572963896997,0.05815708290139751,0.08925480648401789,0.07344737869511299,0.007643656982079199,0.31554673149095364,0.25174306016444464,0.1347848535758607,0.30573122415575416,0.38316292850744105,0.3473033029912007,0.4235415673909896,1.0,0.18936088087361777,0.38536416469770096,0.17635930130793626
review_scores_location,0.015025540005685014,0.03715576166460967,,0.03540523521420609,0.03113916877739903,0.024307261779283256,0.006193950325675122,,0.021362422142620466,0.031412926281374334,0.015025540005685747,0.16995062400472372,0.049366213904673134,0.03481243410156419,0.009328418875345057,0.013952495603442977,0.018938648551043945,0.13050502312582812,0.12780641293709089,0.0542547806945664,0.31232174659825707,0.2648977634845825,0.22066585343834566,0.27856827769282294,0.18936088087361777,1.0,0.33253483244147075,0.10974397481035748
review_scores_value,0.016453179438039096,0.14533156906907407,,0.01564075893232035,0.07003020010451214,0.08602176842142202,0.056141290009744986,,0.034310833705748105,0.010285386641132052,0.016453179438041764,0.1566946161724625,0.03038930654936857,0.003845639174935711,0.02605693098397842,0.030574403166322414,0.03593760090802845,0.17590392341105196,0.11939659061531097,0.03558078450663668,0.6437529054257047,0.5808123236756916,0.5159937833718902,0.4635867837083158,0.38536416469770096,0.33253483244147075,1.0,0.08087180204552101
reviews_per_month,0.006883106726663834,0.023652359356828752,,0.1364457967959468,0.051536725074022675,0.053657109013612266,0.02614169166267384,,0.014054999392045882,0.024796679960042724,0.006883106726665348,0.11843988253752145,0.09772370535811856,0.05163158970463069,0.12707881835148083,0.07690222522565648,0.0033159392755996923,0.3061161210703231,0.5716995398718744,0.419637909624989,0.026714110191911302,0.08894341878539966,0.12383985762746354,0.13287087424397084,0.17635930130793626,0.10974397481035748,0.08087180204552101,1.0
